Pokemon,Generation,Color,Shape,Evolves To,Height,Weight,Sprites,Type 1,Type 2,HP,Attack,Defense,Special Attack,Special Defense,Speed
clefairy,generation-i,pink,upright,clefairy,6,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,fairy,None,70,45,48,60,65,35
clefable,generation-i,pink,upright,clefairy,13,400,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,fairy,None,95,70,73,95,90,60
ninetales,generation-i,yellow,quadruped,ninetales,11,199,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,fire,None,73,76,75,81,100,100
jigglypuff,generation-i,pink,humanoid,jigglypuff,5,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,normal,fairy,115,45,20,45,25,20
wigglytuff,generation-i,pink,humanoid,jigglypuff,10,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,normal,fairy,140,70,45,85,50,45
golbat,generation-i,purple,wings,golbat,16,550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,poison,flying,75,80,70,65,75,90
gloom,generation-i,blue,humanoid,gloom,8,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,grass,poison,60,65,70,85,75,40
vileplume,generation-i,red,humanoid,gloom,12,186,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,grass,poison,75,80,85,110,90,50
parasect,generation-i,red,armor,parasect,10,295,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,bug,grass,60,95,80,60,80,30
venomoth,generation-i,purple,bug-wings,venomoth,15,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,bug,poison,70,65,60,90,75,90
dugtrio,generation-i,brown,heads,dugtrio,7,333,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,ground,None,35,100,50,50,70,120
persian,generation-i,yellow,quadruped,persian,10,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,normal,None,65,70,60,65,65,115
golduck,generation-i,blue,upright,golduck,17,766,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,water,None,80,82,78,95,80,85
primeape,generation-i,brown,upright,primeape,10,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,fighting,None,65,105,60,60,70,95
arcanine,generation-i,brown,quadruped,arcanine,19,1550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,fire,None,90,110,80,100,80,95
poliwhirl,generation-i,blue,humanoid,poliwhirl,10,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,water,None,65,65,65,50,50,90
poliwrath,generation-i,blue,humanoid,poliwhirl,13,540,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,water,fighting,90,95,95,70,90,70
kadabra,generation-i,brown,upright,kadabra,13,565,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,psychic,None,40,35,30,120,70,105
alakazam,generation-i,brown,humanoid,kadabra,15,480,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,psychic,None,55,50,45,135,95,120
machoke,generation-i,gray,humanoid,machoke,15,705,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,fighting,None,80,100,70,50,60,45
machamp,generation-i,gray,humanoid,machoke,16,1300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,fighting,None,90,130,80,65,85,55
weepinbell,generation-i,green,blob,weepinbell,10,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,grass,poison,65,90,50,85,45,55
victreebel,generation-i,green,blob,weepinbell,17,155,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,grass,poison,80,105,65,100,70,70
tentacruel,generation-i,blue,tentacles,tentacruel,16,550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,water,poison,80,70,65,80,120,100
graveler,generation-i,brown,humanoid,graveler,10,1050,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,rock,ground,55,95,115,45,45,35
ponyta,generation-i,yellow,quadruped,rapidash,10,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,fire,None,50,85,55,65,65,90
slowpoke,generation-i,pink,quadruped,slowbro,12,360,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,water,psychic,90,65,65,40,40,15
magnemite,generation-i,gray,arms,magneton,3,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,electric,steel,25,35,70,95,55,45
farfetchd,generation-i,brown,wings,sirfetchd,8,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,normal,flying,52,90,55,58,62,60
doduo,generation-i,brown,legs,dodrio,14,392,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,normal,flying,35,85,45,35,35,75
seel,generation-i,white,fish,dewgong,11,900,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,water,None,65,45,55,45,70,45
grimer,generation-i,purple,arms,muk,9,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,poison,None,80,80,50,40,50,25
shellder,generation-i,purple,ball,cloyster,3,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,water,None,30,65,100,45,25,40
gastly,generation-i,purple,ball,haunter,13,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,ghost,poison,30,35,30,100,35,80
onix,generation-i,gray,squiggle,steelix,88,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,rock,ground,35,45,160,30,45,70
drowzee,generation-i,yellow,humanoid,hypno,10,324,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,psychic,None,60,48,45,43,90,42
krabby,generation-i,red,armor,kingler,4,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,water,None,30,105,90,25,25,50
voltorb,generation-i,red,ball,electrode,5,104,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,electric,None,40,30,50,55,55,100
exeggcute,generation-i,pink,heads,exeggutor,4,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,grass,psychic,60,40,80,60,45,40
cubone,generation-i,brown,upright,marowak,4,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,ground,None,50,50,95,40,50,35
lickitung,generation-i,pink,upright,lickilicky,12,655,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,normal,None,90,55,75,60,75,30
koffing,generation-i,purple,ball,weezing,6,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,poison,None,40,65,95,60,45,35
rhyhorn,generation-i,gray,quadruped,rhydon,10,1150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,ground,rock,80,85,95,30,30,25
tangela,generation-i,blue,legs,tangrowth,10,350,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,grass,None,65,55,115,100,40,60
kangaskhan,generation-i,brown,upright,None,22,800,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,normal,None,105,95,80,40,80,90
horsea,generation-i,blue,blob,seadra,4,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,water,None,30,40,70,70,25,60
goldeen,generation-i,red,fish,seaking,6,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,water,None,45,67,60,35,50,63
staryu,generation-i,brown,blob,starmie,8,345,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,water,None,30,45,55,70,55,85
scyther,generation-i,green,bug-wings,scizor,15,560,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,bug,flying,70,110,80,55,80,105
pinsir,generation-i,brown,humanoid,None,15,550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,bug,None,65,125,100,55,70,85
tauros,generation-i,brown,quadruped,None,14,884,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,normal,None,75,100,95,40,70,110
magikarp,generation-i,red,fish,gyarados,9,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,water,None,20,10,55,15,20,80
lapras,generation-i,blue,fish,None,25,2200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,water,ice,130,85,80,85,95,60
ditto,generation-i,purple,ball,None,3,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,normal,None,48,48,48,48,48,48
eevee,generation-i,brown,quadruped,vaporeon,3,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,normal,None,55,55,50,45,65,55
porygon,generation-i,pink,legs,porygon2,8,365,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,normal,None,65,60,70,85,75,40
omanyte,generation-i,blue,tentacles,omastar,4,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,rock,water,35,40,100,90,55,35
kabuto,generation-i,brown,armor,kabutops,5,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,rock,water,30,80,90,55,45,55
aerodactyl,generation-i,purple,wings,None,18,590,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,rock,flying,80,105,65,60,75,130
articuno,generation-i,blue,wings,None,17,554,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,ice,flying,90,85,100,95,125,85
zapdos,generation-i,yellow,wings,None,16,526,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,electric,flying,90,90,85,125,90,100
moltres,generation-i,yellow,wings,None,20,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,fire,flying,90,100,90,125,85,90
dratini,generation-i,blue,squiggle,dragonair,18,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,dragon,None,41,64,45,50,50,50
mewtwo,generation-i,purple,upright,None,20,1220,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,psychic,None,106,110,90,154,90,130
rapidash,generation-i,yellow,quadruped,rapidash,17,950,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,fire,None,65,100,70,80,80,105
slowbro,generation-i,pink,upright,slowbro,16,785,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,water,psychic,95,75,110,100,80,30
magneton,generation-i,gray,heads,magneton,10,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,electric,steel,50,60,95,120,70,70
dodrio,generation-i,brown,legs,dodrio,18,852,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,normal,flying,60,110,70,60,60,110
dewgong,generation-i,white,fish,dewgong,17,1200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,water,ice,90,70,80,70,95,70
muk,generation-i,purple,arms,muk,12,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,poison,None,105,105,75,65,100,50
cloyster,generation-i,purple,ball,cloyster,15,1325,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,water,ice,50,95,180,85,45,70
haunter,generation-i,purple,arms,haunter,16,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,ghost,poison,45,50,45,115,55,95
gengar,generation-i,purple,upright,haunter,15,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,ghost,poison,60,65,60,130,75,110
hypno,generation-i,yellow,humanoid,hypno,16,756,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,psychic,None,85,73,70,73,115,67
kingler,generation-i,red,armor,kingler,13,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,water,None,55,130,115,50,50,75
electrode,generation-i,red,ball,electrode,12,666,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,electric,None,60,50,70,80,80,150
exeggutor,generation-i,yellow,legs,exeggutor,20,1200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,grass,psychic,95,95,85,125,75,55
marowak,generation-i,brown,upright,marowak,10,450,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,ground,None,60,80,110,50,80,45
hitmonlee,generation-i,brown,humanoid,hitmonlee,15,498,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,fighting,None,50,120,53,35,110,87
hitmonchan,generation-i,brown,humanoid,hitmonlee,14,502,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,fighting,None,50,105,79,35,110,76
weezing,generation-i,purple,heads,weezing,12,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,poison,None,65,90,120,85,70,60
rhydon,generation-i,gray,upright,rhydon,19,1200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,ground,rock,105,130,120,45,45,40
chansey,generation-i,pink,upright,chansey,11,346,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,normal,None,250,5,5,35,105,50
seadra,generation-i,blue,blob,seadra,12,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,water,None,55,65,95,95,45,85
seaking,generation-i,red,fish,seaking,13,390,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,water,None,80,92,65,65,80,68
starmie,generation-i,purple,blob,starmie,11,800,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,water,psychic,60,75,85,100,85,115
mr-mime,generation-i,pink,humanoid,mr-mime,13,545,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,psychic,fairy,40,45,65,100,120,90
jynx,generation-i,red,humanoid,jynx,14,406,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,ice,psychic,65,50,35,115,95,95
electabuzz,generation-i,yellow,upright,electabuzz,11,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,electric,None,65,83,57,95,85,105
magmar,generation-i,red,upright,magmar,13,445,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,fire,None,65,95,57,100,85,93
gyarados,generation-i,blue,squiggle,gyarados,65,2350,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,water,flying,95,125,79,60,100,81
vaporeon,generation-i,blue,quadruped,vaporeon,10,290,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,water,None,130,65,60,110,95,65
jolteon,generation-i,yellow,quadruped,vaporeon,8,245,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,electric,None,65,65,60,110,95,130
flareon,generation-i,red,quadruped,vaporeon,9,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,fire,None,65,130,60,95,110,65
omastar,generation-i,blue,tentacles,omastar,10,350,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,rock,water,70,60,125,115,70,55
kabutops,generation-i,brown,upright,kabutops,13,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,rock,water,60,115,105,65,70,80
snorlax,generation-i,black,humanoid,snorlax,21,4600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,normal,None,160,110,65,65,110,30
dragonair,generation-i,blue,squiggle,dragonair,40,165,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,dragon,None,61,84,65,70,70,70
dragonite,generation-i,brown,upright,dragonair,22,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,dragon,flying,91,134,95,100,100,80
mew,generation-i,pink,upright,None,4,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,psychic,None,100,100,100,100,100,100
ivysaur,generation-i,green,quadruped,ivysaur,10,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,grass,poison,60,62,63,80,80,60
golem,generation-i,brown,humanoid,graveler,14,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,rock,ground,80,120,130,55,65,45
